r,p(r),s,v,p(z),z,,r,z=T(r)
68,0.0065155029296875,0.5900154113769531,0.31940043870338775,0.0030465513039239583,68,,68,157
69,0.006458282470703125,0.5964736938476562,0.3224469900073117,0.0030465513039239583,69,,69,159
70,0.0061492919921875,0.6026229858398438,0.32549354131123565,0.0030465513039239583,70,,70,161
71,0.005523681640625,0.6081466674804688,0.3285400926151596,0.0030465513039239583,71,,71,163
72,0.005268096923828125,0.6134147644042969,0.33158664391908355,0.0030465513039239583,72,,72,165
73,0.00516510009765625,0.6185798645019531,0.3346331952230075,0.0030465513039239583,73,,73,167
74,0.004871368408203125,0.6234512329101562,0.33767974652693145,0.0030465513039239583,74,,74,168
75,0.004878997802734375,0.6283302307128906,0.3407262978308554,0.0030465513039239583,75,,75,170
76,0.00469207763671875,0.6330223083496094,0.34377284913477935,0.0030465513039239583,76,,76,171
77,0.004222869873046875,0.6372451782226562,0.3468194004387033,0.0030465513039239583,77,,77,173
78,0.004123687744140625,0.6413688659667969,0.34986595174262725,0.0030465513039239583,78,,78,174
79,0.00405120849609375,0.6454200744628906,0.3529125030465512,0.0030465513039239583,79,,79,176
80,0.00438690185546875,0.6498069763183594,0.35595905435047515,0.0030465513039239583,80,,80,177
81,0.00397491455078125,0.6537818908691406,0.3590056056543991,0.0030465513039239583,81,,81,178
82,0.003757476806640625,0.6575393676757812,0.36205215695832305,0.0030465513039239583,82,,82,179
83,0.003749847412109375,0.6612892150878906,0.365098708262247,0.0030465513039239583,83,,83,181
84,0.003459930419921875,0.6647491455078125,0.36814525956617095,0.0030465513039239583,84,,84,182
85,0.003589630126953125,0.6683387756347656,0.3711918108700949,0.0030465513039239583,85,,85,183
86,0.00365447998046875,0.6719932556152344,0.37423836217401885,0.0030465513039239583,86,,86,184
87,0.003448486328125,0.6754417419433594,0.3772849134779428,0.0030465513039239583,87,,87,185
88,0.0033721923828125,0.6788139343261719,0.38033146478186675,0.0030465513039239583,88,,88,186
89,0.00345611572265625,0.6822700500488281,0.3833780160857907,0.0030465513039239583,89,,89,188
90,0.00348663330078125,0.6857566833496094,0.38642456738971465,0.0030465513039239583,90,,90,189
91,0.0034027099609375,0.6891593933105469,0.3894711186936386,0.0030465513039239583,91,,91,190
92,0.00331878662109375,0.6924781799316406,0.39251766999756255,0.0030465513039239583,92,,92,191
93,0.003299713134765625,0.6957778930664062,0.3955642213014865,0.0030465513039239583,93,,93,191
94,0.00323486328125,0.6990127563476562,0.39861077260541045,0.0030465513039239583,94,,94,192
95,0.003116607666015625,0.7021293640136719,0.4016573239093344,0.0030465513039239583,95,,95,193
96,0.003162384033203125,0.705291748046875,0.40470387521325835,0.0030465513039239583,96,,96,193
97,0.00299072265625,0.708282470703125,0.4077504265171823,0.0030465513039239583,97,,97,194
98,0.002910614013671875,0.7111930847167969,0.41079697782110625,0.0030465513039239583,98,,98,195
99,0.002918243408203125,0.714111328125,0.4138435291250302,0.0030465513039239583,99,,99,195
100,0.00307464599609375,0.7171859741210938,0.41689008042895415,0.0030465513039239583,100,,100,196
101,0.002971649169921875,0.7201576232910156,0.4199366317328781,0.0030465513039239583,101,,101,197
102,0.003093719482421875,0.7232513427734375,0.42298318303680205,0.0030465513039239583,102,,102,197
103,0.003025054931640625,0.7262763977050781,0.426029734340726,0.0030465513039239583,103,,103,198
104,0.003025054931640625,0.7293014526367188,0.42907628564464995,0.0030465513039239583,104,,104,199
105,0.003204345703125,0.7325057983398438,0.4321228369485739,0.0030465513039239583,105,,105,199
106,0.0031280517578125,0.7356338500976562,0.43516938825249785,0.0030465513039239583,106,,106,200
107,0.003009796142578125,0.7386436462402344,0.4382159395564218,0.0030465513039239583,107,,107,201
